filename,message
output_xml_folders/invalid_xml/uni-ucl-heb-0015052/uni-ucl-heb-0015052-001/uni-ucl-heb-0015052-001-0005L.xml,"XML is not well-formed: not well-formed (invalid token): line 130, column 20"
output_xml_folders/invalid_xml/uni-ucl-heb-0015052/uni-ucl-heb-0015052-001/uni-ucl-heb-0015052-001-0008R.xml,"XML is not well-formed: not well-formed (invalid token): line 73, column 0"
output_xml_folders/invalid_xml/uni-ucl-heb-0015052/uni-ucl-heb-0015052-001/uni-ucl-heb-0015052-001-0009L.xml,"XML is not well-formed: not well-formed (invalid token): line 93, column 3"
output_xml_folders/invalid_xml/uni-ucl-heb-0015052/uni-ucl-heb-0015052-001/uni-ucl-heb-0015052-001-0010R.xml,"XML is not well-formed: mismatched tag: line 507, column 2"
output_xml_folders/invalid_xml/uni-ucl-heb-0015052/uni-ucl-heb-0015052-001/uni-ucl-heb-0015052-001-0011L.xml,"XML is not well-formed: not well-formed (invalid token): line 154, column 20"
output_xml_folders/invalid_xml/uni-ucl-heb-0015052/uni-ucl-heb-0015052-001/uni-ucl-heb-0015052-001-0012R.xml,"XML is not well-formed: mismatched tag: line 164, column 2"
output_xml_folders/invalid_xml/uni-ucl-heb-0015052/uni-ucl-heb-0015052-001/uni-ucl-heb-0015052-001-0014R.xml,"XML is not well-formed: not well-formed (invalid token): line 174, column 28"
output_xml_folders/invalid_xml/uni-ucl-heb-0015052/uni-ucl-heb-0015052-001/uni-ucl-heb-0015052-001-0015L.xml,"XML is not well-formed: not well-formed (invalid token): line 64, column 6"
output_xml_folders/invalid_xml/uni-ucl-heb-0015052/uni-ucl-heb-0015052-001/uni-ucl-heb-0015052-001-0016R.xml,"XML is not well-formed: mismatched tag: line 157, column 2"
output_xml_folders/invalid_xml/uni-ucl-heb-0015052/uni-ucl-heb-0015052-001/uni-ucl-heb-0015052-001-0017L.xml,"XML is not well-formed: not well-formed (invalid token): line 49, column 37"
output_xml_folders/invalid_xml/uni-ucl-heb-0015052/uni-ucl-heb-0015052-001/uni-ucl-heb-0015052-001-0021L.xml,"XML is not well-formed: not well-formed (invalid token): line 219, column 6"
output_xml_folders/invalid_xml/uni-ucl-heb-0015052/uni-ucl-heb-0015052-001/uni-ucl-heb-0015052-001-0022R.xml,"XML is not well-formed: mismatched tag: line 323, column 18"
output_xml_folders/invalid_xml/uni-ucl-heb-0015052/uni-ucl-heb-0015052-001/uni-ucl-heb-0015052-001-0025L.xml,"XML is not well-formed: not well-formed (invalid token): line 145, column 24"
